# Experiment Master Log
# Format: ExperimentID, Timestamp, RandomDirection(rad), RandomDirection(deg), NoiseMagnitude, XNoise, YNoise, Success
0, 2025-10-29 18:30:50, 1.446622, 82.89, 0.014429, 0.001787, 0.014318, True
1, 2025-10-29 18:31:52, 0.836324, 47.92, 0.015075, 0.010103, 0.011189, True
2, 2025-10-29 18:32:58, 4.249910, 243.50, 0.013765, -0.006142, -0.012319, True
3, 2025-10-29 18:33:48, 5.703124, 326.76, 0.013174, 0.011019, -0.007220, True
4, 2025-10-29 18:34:33, 1.261313, 72.27, 0.012618, 0.003843, 0.012018, True
5, 2025-10-29 18:35:18, 1.568886, 89.89, 0.012300, 0.000023, 0.012300, True
6, 2025-10-29 18:36:04, 5.601515, 320.94, 0.011817, 0.009177, -0.007446, True
7, 2025-10-29 18:36:55, 3.660817, 209.75, 0.018306, -0.015893, -0.009083, True
8, 2025-10-29 18:37:43, 0.631364, 36.17, 0.012527, 0.010112, 0.007394, True
9, 2025-10-29 18:38:31, 5.442314, 311.82, 0.017660, 0.011776, -0.013161, True
10, 2025-10-29 18:39:54, 4.912937, 281.49, 0.027724, 0.005523, -0.027168, True
11, 2025-10-29 18:41:38, 4.489219, 257.21, 0.022224, -0.004919, -0.021673, True
12, 2025-10-29 18:42:24, 4.487430, 257.11, 0.022274, -0.004969, -0.021713, True
13, 2025-10-29 18:43:50, 4.487430, 257.11, 0.022274, -0.004969, -0.021713, True
14, 2025-10-29 18:46:13, 3.040837, 174.23, 0.021086, -0.020979, 0.002121, True
15, 2025-10-29 18:47:22, 6.032931, 345.66, 0.022746, 0.022037, -0.005633, True
16, 2025-10-29 18:48:15, 6.121354, 350.73, 0.020759, 0.020488, -0.003345, True
17, 2025-10-29 18:49:08, 5.679165, 325.39, 0.020391, 0.016783, -0.011581, True
18, 2025-10-29 18:50:02, 0.212309, 12.16, 0.026146, 0.025559, 0.005509, True
19, 2025-10-29 18:50:49, 4.003442, 229.38, 0.021301, -0.013867, -0.016168, True
20, 2025-10-29 18:51:38, 1.946855, 111.55, 0.033693, -0.012374, 0.031338, True
21, 2025-10-29 18:52:25, 2.914653, 167.00, 0.035635, -0.034721, 0.008018, False
22, 2025-10-29 18:53:24, 2.235707, 128.10, 0.036483, -0.022509, 0.028711, True
23, 2025-10-29 18:53:59, 3.555030, 203.69, 0.033963, -0.031102, -0.013645, False
24, 2025-10-29 18:54:57, 3.343870, 191.59, 0.033748, -0.033060, -0.006780, False
25, 2025-10-29 18:55:44, 2.148537, 123.10, 0.035269, -0.019261, 0.029545, True
26, 2025-10-29 18:56:42, 2.266627, 129.87, 0.034436, -0.022074, 0.026430, True
27, 2025-10-29 18:57:23, 2.846002, 163.06, 0.038161, -0.036506, 0.011116, False
28, 2025-10-29 18:58:12, 0.591401, 33.88, 0.037179, 0.030865, 0.020728, True
29, 2025-10-29 18:59:02, 5.134320, 294.17, 0.033808, 0.013845, -0.030843, False
30, 2025-10-29 19:00:09, 0.799598, 45.81, 0.041779, 0.029120, 0.029958, True
31, 2025-10-29 19:01:00, 3.156644, 180.86, 0.044631, -0.044626, -0.000672, False
32, 2025-10-29 19:04:17, 4.720768, 270.48, 0.048292, 0.000405, -0.048290, False
33, 2025-10-29 19:04:59, 0.279073, 15.99, 0.043524, 0.041840, 0.011989, False
34, 2025-10-29 19:06:48, 1.686448, 96.63, 0.041115, -0.004744, 0.040841, False35, 2025-10-29 19:08:14, 5.184458, 297.05, 0.048207, 0.021921, -0.042935, False
36, 2025-10-29 19:09:02, 5.503773, 315.34, 0.049271, 0.035048, -0.034631, False
37, 2025-10-29 19:09:52, 2.562705, 146.83, 0.045898, -0.038420, 0.025110, False
38, 2025-10-29 19:10:41, 3.955747, 226.65, 0.047214, -0.032412, -0.034331, False
39, 2025-10-29 19:11:35, 0.818882, 46.92, 0.047457, 0.032415, 0.034661, False
